Group,County,Capacity
0,Clarendon,295.0
1,Clarendon,395.0
10,Dillon,301.0
11,Horry,470.0
12,Horry,770.0
13,Berkeley,492.0
14,Calhoun,170.0
15,Charleston,693.0
16,Charleston,440.0
17,Charleston,199.0
18,Charleston,262.0
19,Charleston,167.0
2,Darlington,321.0
20,Dorchester,452.0
21,Dorchester,389.0
22,Dorchester,1317.0
23,Dorchester,92.0
24,Dorchester,341.0
25,Dorchester,481.0
26,Dorchester,485.0
27,Dorchester,680.0
28,Dorchester,826.0
29,Dorchester,507.0
3,Darlington,281.0
30,Dorchester,257.0
31,Dorchester,228.0
32,Dorchester,225.0
33,Dorchester,318.0
34,Dorchester,419.0
35,Orangeburg,79.0
36,Orangeburg,190.0
37,Orangeburg,314.0
38,Orangeburg,50.0
39,Orangeburg,326.0
4,Darlington,216.0
40,Orangeburg,392.0
41,Orangeburg,260.0
42,Orangeburg,162.0
43,Aiken,124.0
44,Aiken,107.0
45,Aiken,335.0
46,Aiken,582.0
47,Aiken,488.0
48,Aiken,234.0
49,Allendale,243.0
5,Darlington,88.0
50,Colleton,323.0
51,Colleton,143.0
52,Hampton,469.0
53,Hampton,262.0
54,Anderson,375.0
55,Anderson,350.0
56,Cherokee,248.0
57,Cherokee,174.0
58,Chester,318.0
59,Chester,531.0
6,Darlington,731.0
60,Chesterfield,648.0
61,Chesterfield,453.0
62,Chesterfield,509.0
63,Chesterfield,468.0
64,Chesterfield,557.0
65,Chesterfield,403.0
66,Chesterfield,884.0
67,Edgefield,318.0
68,Edgefield,248.0
69,Edgefield,325.0
7,Darlington,264.0
70,Kershaw,643.0
71,Kershaw,591.0
72,Lancaster,478.0
73,Lancaster,343.0
74,Lancaster,393.0
75,Lancaster,481.0
76,Laurens,292.0
77,Laurens,270.0
78,Laurens,584.0
79,McCormick,240.0
8,Darlington,269.0
80,McCormick,115.0
81,Newberry,499.0
82,Pickens,398.0
83,Saluda,586.0
84,Spartanburg,446.0
85,Spartanburg,446.0
86,Spartanburg,168.0
87,Union,339.0
88,York,234.0
9,Darlington,166.0
C1,Charleston,1976.0
C1,Dorchester,3427.0
C1,Lexington,1061.0
C1,Orangeburg,3577.0
C1,Richland,1196.0
C2,Berkeley,1792.0
C2,Charleston,459.0
C2,Dorchester,404.0
C2,Lexington,1829.0
C2,Orangeburg,2328.0
C2,Richland,1672.0
C3,Berkeley,1215.0
C3,Calhoun,265.0
C3,Charleston,243.0
C3,Dorchester,459.0
C3,Lexington,846.0
C3,Orangeburg,174.0
C3,Richland,267.0
C4,Calhoun,561.0
C4,Dorchester,1906.0
C4,Lexington,500.0
C5,Charleston,1287.0
N1,Clarendon,1189.0
N1,Darlington,649.0
N1,Dillon,999.0
N1,Florence,1597.0
N1,Georgetown,1565.0
N1,Marion,1087.0
N1,Sumter,2227.0
N1,Williamsburg,1164.0
N1-A,Horry,2805.0
N2,Darlington,685.0
N2,Dillon,712.0
N2,Marion,931.0
N2,Williamsburg,407.0
N3,Clarendon,551.0
N3,Lee,1145.0
N3,Marlboro,685.0
N3,Sumter,875.0
N4,Darlington,389.0
N4,Dillon,344.0
N4,Florence,3102.0
N4,Lee,461.0
N4,Sumter,1028.0
N5,Georgetown,925.0
S1,Aiken,521.0
S1,Bamberg,664.0
S1,Barnwell,326.0
S1,Colleton,1597.0
S1,Hampton,515.0
S1,Jasper,3525.0
S2,Aiken,592.0
S2,Allendale,263.0
S2,Bamberg,806.0
S2,Barnwell,192.0
S2,Colleton,915.0
S2,Hampton,173.0
S3,Barnwell,166.0
S3,Hampton,184.0
S5,Beaufort,6583.0
W1,Greenville,4713.0
W1,Spartanburg,1515.0
W3,Union,1125.0
W4,Greenville,5187.0
